
========== chartqa ==========
  method      pass1   silent%   |G+|=0   |G+|=1   |G+|=2   |G+|=3   |G+|=4   theory_silent
  base        0.524   37.2%   0.226  0.146  0.166  0.228  0.234    27.7%
  grpo        0.620   30.8%   0.192  0.116  0.100  0.206  0.386    15.7%
  hcpc        0.628   28.8%   0.172  0.116  0.146  0.158  0.408    14.8%
  nsr         0.577   32.0%   0.192  0.128  0.162  0.218  0.300    20.7%
  nsr_hcpc    0.576   33.6%   0.200  0.136  0.142  0.206  0.316    20.9%

========== chartfc ==========
  method      pass1   silent%   |G+|=0   |G+|=1   |G+|=2   |G+|=3   |G+|=4   theory_silent
  grpo        0.661   21.0%   0.078  0.132  0.212  0.224  0.354    11.6%
  hcpc        0.625   25.6%   0.082  0.174  0.192  0.268  0.284    15.2%
  nsr         0.584   29.0%   0.116  0.174  0.216  0.246  0.248    19.8%
  nsr_hcpc    0.613   25.8%   0.106  0.152  0.188  0.294  0.260    16.5%
